問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説
14,基本クラスのポインタや参照を通して派生クラスの関数を呼び出したとき、実際のオブジェクトに応じた関数が実行されるようにするために必要なキーワードはどれか。,static,virtual,inline,friend,B,virtual を付けることで、多態性（ポリモーフィズム）が実現できます。\nEnemy* enemy = new Boss(); enemy->Attack(); では Boss の Attack() が呼ばれます。
15,基本クラスの virtual関数 を、派生クラスで同じシグネチャ（関数名・引数・戻り値）で再定義することを何というか。,オーバーロード,オーバーライド,キャスト,シャドウイング,B,オーバーライドとは、継承した関数の動作を変更することです。\noverride を付けることで、関数名や引数の間違いをコンパイラが検出してくれます。
16,仮想関数(親クラスで定義しておき、子クラスで内容をオーバーライドできる関数)の宣言の末尾に = 0; を付け、実装を持たせないようにした関数を何と呼ぶか。,空関数,静的関数,純粋仮想関数,匿名関数,C,virtual void Attack() = 0; のような関数を純粋仮想関数と呼びます。\nこのような関数は、派生クラスで必ず実装する必要があります。
17,純粋仮想関数を1つ以上持ち、直接インスタンス化できないクラスを何と呼ぶか。,インターフェース,抽象クラス,具象クラス,静的クラス,B,純粋仮想関数を持つクラスは抽象クラスになります。\nEnemy enemy; のように直接インスタンス化することはできず、派生クラスを作って利用します。
18,ポリモーフィズム（多態性）を利用する最大のメリットとして最も適切なものはどれか。,プログラムの実行速度が飛躍的に向上する。,同じ関数呼び出しでも、オブジェクトの種類に応じて異なる処理を実行でき、柔軟で拡張しやすい設計になる。,ソースコードの行数を増やすことができる。,メモリ使用量を極限まで減らすことができる。,B,enemy->Attack(); という同じコードでも、\nBoss、Ghost、Slime など実際のオブジェクトに応じて異なる攻撃が実行されます。\nゲームプログラムで非常に重要な考え方です。
19,メンバ関数内で、その関数を呼び出しているオブジェクト自身を指すポインタはどれか。,self,me,that,this,D,this は「自分自身」を指します。\n this->hp は「このオブジェクトの hp」を意味します。
20,クラス全体で共有され、オブジェクトごとではなくクラスに属するメンバを何と呼ぶか。,定数メンバ,静的メンバ（staticメンバ）,動的メンバ,グローバルメンバ,B,static メンバは、すべてのオブジェクトで共有されます。\nPlayer::playerCount のようにクラス名から利用でき、「生成されたオブジェクト数」などの管理に便利です。
21,関数の後ろに const を付けたメンバ関数の説明として、最も適切なものはどれか。,その関数内では、原則としてメンバ変数の値を変更できない。,その関数は一度しか呼び出せない。,その関数は値を返すことができない。,その関数は private メンバにアクセスできない。,A,constメンバ関数は、オブジェクトの状態を変更しないことを保証する関数です。\nGetHp() const のように値を取得するだけの関数に付けるのが適切です。
22,同じ名前の関数を、引数の型や数を変えて複数定義することを何というか。,オーバーライド,オーバーロード,アップキャスト,テンプレート,B,オーバーロードでは、同じ関数名でも引数が異なれば複数定義できます（例：Attack()、Attack(int power)）。\n用途に応じて使い分けられます。
23,C++で実行時に動的メモリを確保する演算子はどれか。,malloc,alloc,new,create,C,new はヒープ領域にオブジェクトを生成します。\nただし現代のC++（C++11以降）では std::make_unique や std::make_shared を利用することが推奨されています。
24,new で確保したメモリを解放するために使用する演算子はどれか。,free,remove,clear,delete,D,new と delete は必ず対になります。\nスマートポインタ（std::make_unique など）を使えば自動解放されるため delete を直接書く必要が無くなります。
25,オブジェクトを指すポインタから、そのメンバにアクセスするために使う演算子はどれか。,.,->,::,*,B,ポインタからメンバへアクセスするときは ->（アロー演算子）を使います。\n通常のオブジェクトなら .（ドット演算子）を使います。
26,変数の別名として機能し、ポインタのようにアドレス演算子を意識せず利用できる機能を何というか。,ポインタ,参照（リファレンス）,エイリアス,リンク,B,参照は変数の「別名」です。\nint& ref = a; とすると、ref を変更した際に元の変数 a の値も直接変更されます。
27,クラス外でメンバ関数を定義したり、静的メンバへアクセスしたりするときに使用する :: を何というか。,アロー演算子,スコープ解決演算子,比較演算子,条件演算子,B,void Player::Move() や Player::playerCount で使われる :: をスコープ解決演算子と呼びます。
28,同じ名前の関数やクラスが衝突しないようにグループ分けする仕組みを何というか。,名前空間（namespace）,モジュール,パッケージ,ライブラリ,A,代表例は std::cout や std::vector で使われている std です。\n名前の衝突を防ぐための仕組みです。
29,C++標準ライブラリ（STL）に含まれる、要素数を動的に増減できる配列を扱うコンテナはどれか。,std::string,std::vector,std::list,std::array,B,std::vector は最もよく使われる動的配列コンテナです。\nゲーム開発でも敵一覧や弾一覧などの管理に頻繁に利用されます。
30,派生クラスで仮想関数をオーバーライドするとき、関数名や引数の書き間違いをコンパイラが検出できるようにするため、C++11から導入されたキーワードはどれか。,virtual,final,override,overwrite,C,override を付けることで、基底クラスの関数と名前や引数が一致していない場合に\nコンパイルエラーとしてすぐに検出できるようになります。
